ID,a_num_id,b_num_id
519,433,169
520,177,310
521,434,183
522,183,1215
523,118,177
524,435,177
525,4,1216
526,436,177
527,437,3
528,438,169
529,169,438
530,177,304
531,183,760
532,439,169
533,177,1217
534,440,183
535,177,1218
536,230,961
537,188,441
538,441,188
539,4,442
540,442,4
541,183,1219
542,174,4
543,195,1220
544,443,188
545,444,230
546,445,195
547,446,178
548,447,177
549,448,188
550,177,1221
551,178,449
552,449,178
553,450,177
554,183,582
555,188,1091
556,3,987
557,188,1222
558,169,277
559,188,1223
560,451,183
561,188,413
562,452,178
563,188,1224
564,453,177
565,454,169
566,195,1225
567,455,3
568,195,246
569,456,195
570,195,458
571,4,13
572,169,383
573,177,1226
574,195,1227
575,457,230
576,458,195
577,195,1228
578,459,1186
579,460,183
580,461,178
581,183,387
582,462,178
583,195,1229
584,463,177
585,464,3
586,465,178
587,4,1230
588,177,992
589,169,994
590,195,652
591,169,1231
592,177,303
593,4,466
594,466,4
595,253,183
596,4,228
597,195,637
598,467,177
599,169,500
600,468,177
601,369,183
602,183,895
603,469,177
604,470,3
605,183,471
606,471,183
607,183,899
608,183,1164
609,183,1232
610,183,1233
611,188,1234
612,4,7
613,195,294
614,472,4
615,473,3
616,183,221
617,474,183
618,195,249
619,475,169
620,177,1235
621,230,1236
622,476,3
623,195,1237
624,195,1238
625,188,1239
626,477,230
627,478,188
628,479,169
629,195,1240
630,480,177
631,195,547
632,481,230
633,183,1001
634,482,195
635,195,482
636,230,481
637,483,188
638,169,499
639,195,275
640,178,1241
641,484,195
642,485,195
643,486,195
644,487,177
645,177,1092
646,169,759
647,188,1242
648,195,1002
649,488,177
650,489,195
651,195,302
652,490,1186
653,177,1243
654,491,1186
655,492,1186
656,177,800
657,169,1044
658,493,183
659,494,183
660,495,195
661,496,3
662,195,1244
663,183,494
664,497,169
665,498,169
666,499,169
667,500,169
668,195,535
669,195,1245
670,183,980
671,183,1246
672,501,3
673,502,169
674,177,878
675,503,177
676,504,183
677,169,1247
678,183,1248
679,195,417
680,505,177
681,506,177
682,188,835
683,195,1249
684,507,195
685,195,1250
686,177,991
687,508,178
688,509,177
689,177,1251
690,510,195
691,188,625
692,511,178
693,177,589
694,195,1008
695,512,4
696,513,230
697,177,505
698,195,285
699,230,517
700,195,1252
701,514,195
702,515,177
703,516,3
704,195,1253
705,195,1254
706,4,512
707,517,230
708,518,177
709,195,519
710,4,1255
711,519,195
712,195,1256
713,178,366
714,195,1257
715,520,195
716,521,178
717,177,1258
718,178,521
719,522,3
720,4,818
721,177,529
722,4,16
723,177,1011
724,523,183
725,177,1004
726,177,518
727,524,177
728,183,378
729,195,1259
730,4,1260
731,525,188
732,183,1261
733,526,183
734,527,177
735,528,3
736,529,177
737,177,527
738,530,178
739,531,195
740,532,195
741,533,177
742,534,3
743,195,1017
744,177,184
745,177,533
746,535,195
747,536,169
748,230,1015
749,188,1014
750,537,183
751,177,316
752,188,1262
753,538,169
754,539,183
755,183,1263
756,188,583
757,177,674
758,540,4
759,169,1264
760,195,445
761,183,400
762,178,634
763,183,1265
764,541,169
765,542,177
766,188,1266
767,195,1018
768,177,718
769,543,1186
770,544,177
771,183,1267
772,183,286
773,545,195
774,188,1020
775,169,240
776,183,300
777,177,983
778,195,1268
779,195,1269
780,177,487
781,195,1022
782,178,568
783,177,691
784,546,183
785,547,195
786,280,183
787,548,195
788,549,195
789,195,1023
790,550,3
791,195,549
792,551,177
793,552,195
794,553,177
795,554,195
796,4,864
797,555,1186
798,556,195
799,188,1270
800,557,183
801,177,632
802,169,623
803,558,183
804,230,1271
805,178,1026
806,559,177
807,183,369
808,177,1272
809,560,1186
810,3,1273
811,3,1274
812,561,178
813,177,1248
814,177,773
815,188,1275
816,178,1276
817,562,230
818,563,4
819,195,1277
820,564,4
821,4,1248
822,177,1278
823,177,542
824,565,178
825,566,177
826,177,692
827,567,177
828,568,178
829,177,238
830,569,177
831,570,169
832,195,1279
833,327,177
834,195,1280
835,571,183
836,572,178
837,177,397
838,195,1051
839,573,3
840,574,230
841,195,200
842,575,188
843,195,204
844,576,188
845,577,169
846,578,177
847,169,577
848,579,177
849,188,581
850,580,177
851,581,188
852,177,580
853,582,183
854,177,822
855,583,188
856,177,567
857,188,1281
858,195,1282
859,584,183
860,585,195
861,177,1041
862,586,177
863,587,169
864,183,1045
865,4,1283
866,4,614
867,588,195
868,178,392
869,177,586
870,589,177
871,590,177
872,178,641
873,591,177
874,592,169
875,4,1284
876,195,780
877,593,177
878,594,188
879,195,628
880,595,195
881,596,177
882,597,188
883,598,177
884,599,177
885,188,597
886,183,1285
887,600,177
888,195,1286
889,601,195
890,188,404
891,602,195
892,230,968
893,188,1050
894,603,1186
895,177,1287
896,604,183
897,177,1288
898,183,657
899,605,178
900,183,604
901,4,1289
902,606,195
903,607,195
904,608,230
905,177,524
906,230,608
907,169,1290
908,609,177
909,610,178
910,4,14
911,177,736
912,611,178
913,4,8
914,612,4
915,195,1291
916,613,177
917,614,4
918,466,3
919,615,169
920,183,1292
921,188,1293
922,177,1294
923,4,619
924,230,621
925,177,596
926,616,178
927,177,1295
928,177,1084
929,617,177
930,177,1296
931,618,183
932,619,4
933,620,177
934,621,230
935,622,178
936,623,169
937,178,1297
938,183,1298
939,624,177
940,625,188
941,177,624
942,230,1299
943,626,183
944,188,1300
945,188,809
946,627,178
947,628,195
948,629,188
949,195,1301
